ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER,geometry,HEIGHT_RELATIVE,tinitaly_height,copernicus_height,HEIGHT_ABSOLUTE_TIN,diff_tinitaly,HEIGHT_ABSOLUTE_COP,diff_copernicus,outlier_score
8,329,540,45.473982,45.473297,11.146332,11.140874,118.5,118.5,2.0074392,0.87,POINT (667338.0923811094 5037759.230136217),118.5,119.067894,117.777695,122.44141998291015,3.373526000976554,123.20267944335939,5.424984741210949,0.015459524279985648
13,450,540,45.475908,45.475223,11.160802,11.155344,300.0,300.0,1.6810782,0.92,POINT (668463.3681216206 5038003.444630766),300.0,300.69638,300.9238,303.94141998291013,3.2450393676757585,304.7026794433594,3.7788818359375114,0.02805639517312064
14,470,540,45.476093,45.475408,11.162192,11.156734,280.6,280.6,1.7103707,0.96,POINT (668571.4589851797 5038026.913350752),280.6,280.6856,280.15613,284.54141998291016,3.8558120727539062,285.3026794433594,5.146551513671909,0.02672107687847669
15,481,540,45.476213,45.475528,11.163091,11.157633,276.5,276.5,1.7031171,0.94,POINT (668641.3666899056 5038042.131806454),276.5,277.84985,278.04617,280.44141998291013,2.5915664672851335,281.2026794433594,3.1565063476562614,0.02811841495091616
16,499,540,45.476389,45.475704,11.164414,11.158956,262.6,262.6,1.7839236,0.96,POINT (668744.2465599853 5038064.463015244),262.6,264.4814,264.4249,266.54141998291016,2.0600051879882812,267.3026794433594,2.877783203125034,0.0258827376364843
18,571,540,45.477051,45.476366,11.169371,11.163913,190.6,190.6,1.7792605,0.98,POINT (669129.7021442872 5038148.433472843),190.6,195.97307,195.73392,194.54141998291016,-1.4316482543945312,195.30267944335938,-0.4312377929687443,0.028606312455481286
19,616,540,45.477596,45.476911,11.173469,11.168011,195.2,195.2,1.7859754,0.96,POINT (669448.3619656644 5038217.617234845),195.2,198.10399,198.76997,199.14141998291012,1.0374313354491846,199.90267944335938,1.1327056884765625,0.03461791708660189
20,626,540,45.477713,45.477028,11.174345,11.168887,194.6,194.6,1.594969,0.96,POINT (669516.4772811943 5038232.463738501),194.6,197.61673,198.3882,198.54141998291016,0.9246902465820312,199.30267944335938,0.9144805908203182,0.03825185200923881
21,661,540,45.478126,45.477441,11.177449,11.171991,194.1,194.1,1.7415494,0.97,POINT (669757.8380969733 5038284.901530355),194.1,198.57785,198.79242,198.04141998291016,-0.5364303588867188,198.80267944335938,0.010260009765630684,0.05402139154450769
22,668,540,45.478215,45.47753,11.178125,11.172667,196.8,196.8,1.7674524,0.96,POINT (669810.4048670637 5038296.21792145),196.8,198.80205,199.53256,200.74141998291014,1.9393722534179574,201.5026794433594,1.9701171875000227,0.04839969434388164
23,718,540,45.478794,45.478109,11.182473,11.177015,192.1,192.1,1.6381338,0.97,POINT (670148.4881022482 5038369.743416089),192.1,197.13467,197.21121,196.04141998291016,-1.0932540893554688,196.80267944335938,-0.4085327148437443,0.054699930132234786
24,745,540,45.479116,45.478431,11.184896,11.179438,193.4,193.4,1.7029312,0.96,POINT (670336.889916908 5038410.651688183),193.4,197.88838,198.47466,197.34141998291017,-0.5469619750976449,198.1026794433594,-0.37197570800779545,0.057226084509740816
25,774,540,45.479462,45.478777,11.187494,11.182036,194.5,194.5,1.7493051,0.97,POINT (670538.8943053576 5038454.603515095),194.5,198.22162,198.53946,198.44141998291013,0.2198013305663835,199.2026794433594,0.6632202148437614,0.060965381867298274
26,785,540,45.479586,45.478901,11.188428,11.18297,192.4,192.4,1.7855074,0.97,POINT (670611.51692533 5038470.362849727),192.4,199.98083,198.58209,196.34141998291017,-3.6394149780273324,197.1026794433594,-1.479412841796858,0.06627688312784125
27,788,540,45.479619,45.478934,11.188678,11.18322,191.7,191.7,1.7752053,0.96,POINT (670630.9560489359 5038474.560058829),191.7,199.5005,197.62744,195.64141998291012,-3.8590835571289404,196.40267944335938,-1.224761962890625,0.0650511683933318
28,828,540,45.480081,45.479396,11.192155,11.186697,188.1,188.1,1.849362,0.94,POINT (670901.3038180083 5038533.278439363),188.1,194.98882,195.23105,192.04141998291016,-2.9473953247070312,192.80267944335938,-2.4283691406249943,0.07334062721015838
29,830,540,45.480105,45.47942,11.192331,11.186873,188.0,188.0,1.8328844,0.93,POINT (670914.986398732 5038536.319228389),188.0,195.1315,195.19019,191.94141998291013,-3.1900802612304915,192.7026794433594,-2.4875061035156136,0.07327562230583501
30,845,540,45.480322,45.479637,11.19397,11.188512,203.5,203.5,1.8105935,0.95,POINT (671042.424543503 5038563.9159045),203.5,210.17462,209.41942,207.44141998291013,-2.7332015991211165,208.2026794433594,-1.2167388916015511,0.0776749100250978
31,867,540,45.480695,45.48001,11.196778,11.19132,246.3,246.3,1.8149298,0.94,POINT (671260.7506238765 5038611.338019297),246.3,255.88916,256.4418,250.24141998291014,-5.647740173339855,251.0026794433594,-5.439123535156227,0.06119404524279881
32,874,540,45.480787,45.480102,11.197469,11.192011,249.8,249.8,1.7882128,0.94,POINT (671314.4757909104 5038623.032416419),249.8,257.8183,258.6017,253.74141998291014,-4.076878356933605,254.5026794433594,-4.099035644531227,0.06365501411888136
33,909,540,45.481104,45.480419,11.199858,11.1944,214.3,214.3,1.8807381,0.92,POINT (671500.2221461518 5038663.348001112),214.3,223.1323,224.0105,218.24141998291014,-4.89087371826173,219.0026794433594,-5.007818603515602,0.05966797974261795
34,979,540,45.481679,45.480994,11.204168,11.19871,120.0,120.0,1.9170026,0.91,POINT (671835.3127856593 5038736.439847981),120.0,125.92685,126.20257,123.94141998291015,-1.9854293823242273,124.70267944335939,-1.4998886108398324,0.055656227014695636
35,983,540,45.481724,45.481039,11.204511,11.199053,119.4,119.4,1.9686829,0.92,POINT (671861.9821068769 5038742.1730302675),119.4,125.63768,126.21024,123.34141998291015,-2.296260070800784,124.10267944335939,-2.107563781738264,0.05655688683028631
